,x,y,strength
Jonctiune-1637,730639.18,420457.73,25.0
Jonctiune-1873,730355.97,420442.967,6.0
Jonctiune-1414,730678.855,421170.761,6.0
Jonctiune-1872,730235.874,420078.166,6.0
