,ENTITY ID,LOCATION,LONGITUDE,LATITUDE,INP NAME,READING
0,measurements_node_braila_noise2182,name,45.25249,27.937168,Jonctiune-1637,25.0
1,measurements_node_braila_noise5980,name,45.245827,27.933552,Jonctiune-1873,6.0
2,measurements_node_braila_noise5981,name,45.252266,27.938002,Jonctiune-1414,6.0
3,measurements_node_braila_noise5982,name,45.246567,27.931849,Jonctiune-1872,6.0
